sex,age,stu,school,video_name,total_avg,total_std,total_var,total_max,total_min,total_q25,total_q50,total_q75,red_avg,red_std,red_var,red_max,red_min,red_q25,red_q50,red_q75,green_avg,green_std,green_var,green_max,green_min,green_q25,green_q50,green_q75,brown_avg,brown_std,brown_var,brown_max,brown_min,brown_q25,brown_q50,brown_q75
1,5,0,TPH_Ruifang,1_5_0_C0215,50545.955,1350.8668,1824841.053,53496,47810,49640.25,50669.5,51334.25,24313.1583,1777.3912,3159119.6499,27569,21311,22761.75,23984.0,25711.25,11261.4617,2200.9784,4844305.8252,15589,8595,9375.75,10836.5,12537.0,14971.335,791.3291,626201.6694,16526,13050,14375.25,15051.0,15624.25
1,5,0,TPH_Ruifang,1_5_0_C0221,52725.4917,3323.7281,11047168.6933,58599,47155,49816.5,52786.0,55518.5,25271.2033,1435.2976,2060079.2753,27856,22695,24115.5,25112.5,26756.25,11465.7933,1081.9337,1170580.544,13414,9379,10734.25,11391.5,12344.75,15988.495,1412.7561,1995879.7866,19609,14323,15016.75,15342.0,16733.75
1,5,1,TPH_Ruifang,1_5_1_C0223,56281.2583,2040.4686,4163512.1883,60319,52335,54651.0,56164.0,57701.5,23494.77,1907.7476,3639500.8271,27631,20756,21930.25,22830.0,24727.75,15070.3933,1183.2278,1400028.102,17580,12856,14298.75,14932.5,16012.25,17716.095,715.3103,511668.896,19319,15972,17117.0,17787.0,18335.25
1,6,0,TPH_Ruifang,1_6_0_C0199,56955.3983,721.7332,520898.8663,58633,55341,56369.0,57044.0,57485.0,30077.16,650.5684,423239.2111,31709,28599,29598.0,30085.0,30535.25,12786.3933,647.2131,418884.772,13790,11048,12535.25,12896.0,13212.0,14091.845,908.8,825917.4543,16358,11755,13695.0,14112.0,14535.75
1,6,0,TPH_Ruifang,1_6_0_C0201,53375.575,2374.446,5637993.5744,57828,48560,52163.25,52938.5,55316.0,26967.5567,1335.0227,1782285.6935,28695,23580,26104.0,27530.5,28007.0,11645.3517,1371.8389,1881941.8413,14070,9504,10250.25,11784.5,12868.0,14762.6667,1885.1516,3553796.3989,18314,10957,13566.5,14839.5,16204.25
1,6,0,TPH_Ruifang,1_6_0_C0202,56435.0933,3040.5468,9244924.728,61413,50963,53687.5,56222.5,59225.5,23622.7683,3274.4012,10721703.0913,28999,18009,20998.75,23105.0,26980.0,14545.6217,2009.5283,4038204.1152,19044,12338,13129.75,13665.0,15126.0,18266.7033,595.4822,354599.062,19617,16492,17869.0,18281.0,18703.25
1,6,0,TPH_Ruifang,1_6_0_C0203,59723.7517,1964.8607,3860677.7067,62720,54402,58588.0,59611.0,61377.5,28972.295,1677.497,2813996.3346,32685,25868,27628.0,28760.0,30281.5,13736.195,1272.7156,1619805.1236,15947,10026,13139.5,14125.5,14646.5,17015.2617,881.4343,776926.4232,18363,14649,16609.5,17220.0,17670.5
1,6,0,TPH_Ruifang,1_6_0_C0204,50470.7667,1528.5738,2336537.9456,54083,47829,49347.75,50431.5,50941.75,24753.035,982.3927,965095.4838,27105,22969,24063.75,24747.5,25165.25,10862.6767,570.3658,325317.1321,12028,9657,10454.75,10831.0,11327.25,14855.055,621.6246,386417.1353,15935,13034,14508.5,15015.0,15334.0
1,6,0,TPH_Ruifang,1_6_0_C0207,52014.7617,1028.7616,1058350.3782,55352,50188,51396.75,51912.5,52446.25,27451.505,939.2927,882270.7066,29632,25397,26660.0,27590.5,28084.25,10395.315,2718.9028,7392432.3424,13725,5814,7961.0,11026.0,13088.25,14167.9417,2755.7322,7594060.1149,19429,9950,11710.0,13785.5,16525.75
1,6,0,TPH_Ruifang,1_6_0_C0210,59096.4183,2016.8864,4067830.88,63077,55031,57687.0,58800.5,60916.75,28628.545,1179.209,1390533.938,30880,25541,27723.75,28526.5,29655.5,13674.7033,1056.1441,1115440.3253,15475,11102,12959.5,13874.5,14448.25,16793.17,850.0703,722619.5678,18120,14674,16271.75,16946.5,17530.75
